case_id,site_id,case_name,group,lat,lon,case_status,solve_iter,tier,split,max_speed,mean_speed,T_min,T_max,q_min,q_max,k_min,final_Ux,n_iterations,n_flags,flags
ct_c_morpho_0000/case_ts000,ct_c_morpho_0000,case_ts000,C_morpho,46.14249,4.21162,early_converged,1000,gold,train,16.441941767887908,5.676550206372272,266.23433,282.51809,0.0028681069,0.0055604642,0.0015568197,0.004509343,1000,0,
ct_c_morpho_0000/case_ts001,ct_c_morpho_0000,case_ts001,C_morpho,46.14249,4.21162,early_converged,1000,gold,train,8.52544461958396,3.1732231813367897,268.15695,287.83524,0.0023800724,0.0048248005,0.00065473038,0.000733567,1000,0,
ct_c_morpho_0000/case_ts002,ct_c_morpho_0000,case_ts002,C_morpho,46.14249,4.21162,early_converged,1000,silver,train,20.83955285043946,4.111627021399781,284.43482,307.06225,0.0059184928,0.0093662493,0.00232198,0.011851811,1000,1,Ux_residual=1.19e-02
ct_c_morpho_0000/case_ts003,ct_c_morpho_0000,case_ts003,C_morpho,46.14249,4.21162,solved,300,gold,train,8.52134325412202,2.034933906233958,282.53237,296.57773,0.0034959259,0.010653533,0.00032721318,0.0017909373,300,0,
ct_c_morpho_0000/case_ts004,ct_c_morpho_0000,case_ts004,C_morpho,46.14249,4.21162,solved,300,gold,train,15.958915277468021,2.357961901380423,276.94231,294.07572,0.0055734663,0.0070102722,0.00030114276,0.0018616126,300,0,
ct_c_morpho_0000/case_ts005,ct_c_morpho_0000,case_ts005,C_morpho,46.14249,4.21162,solved,300,gold,train,18.825505488877692,5.799010711603136,281.13565,299.52737,0.0067319316,0.010272169,0.0073178299,0.0071671437,300,0,
ct_c_morpho_0000/case_ts006,ct_c_morpho_0000,case_ts006,C_morpho,46.14249,4.21162,solved,300,silver,train,16.321993038080397,2.0822787469113404,282.76065,297.2291,0.0039358379,0.010399129,0.00033941035,0.015983736,300,1,Ux_residual=1.60e-02
ct_c_morpho_0000/case_ts007,ct_c_morpho_0000,case_ts007,C_morpho,46.14249,4.21162,solved,300,gold,train,9.509590897723845,4.355531556268025,276.34454,293.19328,0.0052218431,0.0098316446,0.0010322527,0.00055581008,300,0,
ct_c_morpho_0000/case_ts008,ct_c_morpho_0000,case_ts008,C_morpho,46.14249,4.21162,solved,300,gold,train,9.87219107489552,1.587350095183755,281.74738,299.08325,0.0059524176,0.0098342541,8.7333042e-05,0.0054272317,300,0,
ct_c_morpho_0000/case_ts009,ct_c_morpho_0000,case_ts009,C_morpho,46.14249,4.21162,solved,300,gold,train,15.35598148574184,8.555125879912165,279.86184,290.88218,0.0032769958,0.0093512795,0.0028525286,0.0012298617,300,0,
ct_c_morpho_0000/case_ts010,ct_c_morpho_0000,case_ts010,C_morpho,46.14249,4.21162,solved,300,gold,train,13.173136744505094,3.752801595801318,284.68152,305.87072,0.0024961483,0.0069504466,0.0010503091,0.006363258,300,0,
ct_c_morpho_0000/case_ts011,ct_c_morpho_0000,case_ts011,C_morpho,46.14249,4.21162,solved,300,gold,train,3.7662916746105943,2.204100502561726,279.05074,299.3725,0.0045020044,0.0077670662,0.00028910186,0.002429403,300,0,
ct_c_morpho_0000/case_ts012,ct_c_morpho_0000,case_ts012,C_morpho,46.14249,4.21162,solved,300,gold,train,6.661041385960897,2.152733370620932,278.26992,294.34996,0.0038921356,0.010256468,0.00052595787,0.0070446464,300,0,
ct_c_morpho_0000/case_ts013,ct_c_morpho_0000,case_ts013,C_morpho,46.14249,4.21162,solved,300,gold,train,11.443202345097866,7.027067531374751,274.66271,289.04321,0.003750318,0.0081322246,0.0020559598,0.0015082619,300,0,
ct_c_morpho_0000/case_ts014,ct_c_morpho_0000,case_ts014,C_morpho,46.14249,4.21162,solved,300,gold,train,13.278832912745305,7.121720315348896,278.06306,294.82966,0.0055287632,0.010195702,0.0018343469,0.0011652238,300,0,
ct_c_morpho_0020/case_ts000,ct_c_morpho_0020,case_ts000,C_morpho,37.50561,-2.29232,early_converged,1000,gold,train,18.29590087260405,7.861054714085314,272.91917,294.4302,0.0038522203,0.0052194462,0.0017447135,0.00088916402,1000,0,
ct_c_morpho_0020/case_ts001,ct_c_morpho_0020,case_ts001,C_morpho,37.50561,-2.29232,early_converged,1000,gold,train,17.727520669251863,3.903666218871787,278.19214,293.46119,0.00052874929,0.0050818799,0.00046000699,0.0049818979,1000,0,
ct_c_morpho_0020/case_ts002,ct_c_morpho_0020,case_ts002,C_morpho,37.50561,-2.29232,early_converged,1000,gold,train,14.689209501750593,2.656237739911213,282.00553,297.88676,0.0045273317,0.0057711862,0.0031171013,0.0049635978,1000,0,
ct_c_morpho_0020/case_ts003,ct_c_morpho_0020,case_ts003,C_morpho,37.50561,-2.29232,solved,300,gold,train,11.799310768911713,3.335006606050748,286.14892,296.98315,0.002726981,0.0093119987,0.00058299524,0.0021040068,300,0,
ct_c_morpho_0020/case_ts004,ct_c_morpho_0020,case_ts004,C_morpho,37.50561,-2.29232,solved,300,gold,train,7.005518510649578,4.775123389006119,287.04536,299.36284,0.0036530238,0.0065939373,0.0005963005,0.0022848955,300,0,
ct_c_morpho_0020/case_ts005,ct_c_morpho_0020,case_ts005,C_morpho,37.50561,-2.29232,solved,300,gold,train,13.42047330571158,2.587120600208953,284.02335,297.4913,0.0043034114,0.012124131,0.0014016112,0.009930217,300,0,
ct_c_morpho_0020/case_ts006,ct_c_morpho_0020,case_ts006,C_morpho,37.50561,-2.29232,solved,300,gold,train,10.011193066936494,3.049255263229635,286.20553,304.40224,0.0039845871,0.0061237002,0.0011611495,0.0077056432,300,0,
ct_c_morpho_0020/case_ts007,ct_c_morpho_0020,case_ts007,C_morpho,37.50561,-2.29232,solved,300,gold,train,8.239445974556935,1.4702015510632875,283.31962,295.47776,0.0022849223,0.014544584,0.00083173801,0.0087855205,300,0,
ct_c_morpho_0020/case_ts008,ct_c_morpho_0020,case_ts008,C_morpho,37.50561,-2.29232,solved,300,gold,train,8.97229517934135,4.085521457414149,286.68701,304.13737,0.0034192188,0.0096840288,0.00020352255,0.0036250234,300,0,
ct_c_morpho_0020/case_ts009,ct_c_morpho_0020,case_ts009,C_morpho,37.50561,-2.29232,solved,300,gold,train,10.876680681729827,2.243890993757804,288.88737,307.3032,0.0044930386,0.010799472,0.00031796652,0.0037155119,300,0,
ct_c_morpho_0020/case_ts010,ct_c_morpho_0020,case_ts010,C_morpho,37.50561,-2.29232,solved,300,gold,train,12.386748916293646,4.712984844578366,289.35643,298.99856,0.0014541636,0.017963853,0.00077826384,0.0023951026,300,0,
ct_c_morpho_0020/case_ts011,ct_c_morpho_0020,case_ts011,C_morpho,37.50561,-2.29232,solved,300,gold,train,6.001807630853921,1.6254143222225304,285.89223,301.10821,0.0035001898,0.012864893,0.0018817913,0.0076074314,300,0,
ct_c_morpho_0020/case_ts012,ct_c_morpho_0020,case_ts012,C_morpho,37.50561,-2.29232,solved,300,gold,train,3.4018371881958767,1.6881298238481401,283.40401,297.61334,0.0052961496,0.013190815,0.00040086918,0.0069457704,300,0,
ct_c_morpho_0020/case_ts013,ct_c_morpho_0020,case_ts013,C_morpho,37.50561,-2.29232,solved,300,silver,train,10.894204505209036,2.809334517538215,285.34423,301.28149,0.003546654,0.0079468559,0.00067287977,0.010217867,300,1,Ux_residual=1.02e-02
