run_id,site_id,timestamp,speed_10m,direction_deg,speed_100m,shear,dir_sin,dir_cos,wind_cluster_id,lat,lon,std_elev,terrain_cluster_id,priority,status
run_000000,site_00000,2019-01-04 16:00:00,8.8,325,19.2,0.3388185565533809,-0.5735764363510465,0.8191520442889916,14,50.73097,1.725,27.62,0,high,pending
run_000001,site_00000,2019-05-01 14:00:00,8.9,317,11.0,0.0920026785133122,-0.6819983600624984,0.7313537016191707,5,50.73097,1.725,27.62,0,high,pending
run_000002,site_00000,2019-12-05 08:00:00,7.9,219,18.1,0.3600514835787431,-0.6293203910498376,-0.7771459614569708,9,50.73097,1.725,27.62,0,high,pending
run_000003,site_00001,2018-03-21 04:00:00,8.4,329,17.4,0.3162699622207179,-0.5150380749100545,0.8571673007021121,6,49.03597,-1.25278,21.66,0,high,pending
run_000004,site_00001,2018-05-10 21:00:00,4.2,211,2.7,-0.1918855262389131,-0.5150380749100542,-0.8571673007021123,9,49.03597,-1.25278,21.66,0,high,pending
run_000005,site_00001,2018-06-14 21:00:00,8.4,263,16.7,0.2984371850857015,-0.992546151641322,-0.1218693434051471,11,49.03597,-1.25278,21.66,0,high,pending
run_000006,site_00001,2018-12-26 05:00:00,7.1,120,10.5,0.1699309503508627,0.8660254037844387,-0.4999999999999998,5,49.03597,-1.25278,21.66,0,high,pending
run_000007,site_00001,2019-02-18 10:00:00,8.7,204,12.1,0.1432661176978315,-0.4067366430758002,-0.9135454576426008,7,49.03597,-1.25278,21.66,0,high,pending
run_000008,site_00002,2018-04-12 14:00:00,8.0,80,10.9,0.13433651094868,0.984807753012208,0.1736481776669304,11,52.92819,-7.85972,43.43,0,high,pending
run_000009,site_00002,2019-05-22 01:00:00,7.8,283,17.2,0.3434338442170685,-0.9743700647852352,0.2249510543438649,13,52.92819,-7.85972,43.43,0,high,pending
run_000010,site_00002,2019-06-04 06:00:00,8.7,66,17.9,0.3133337783612746,0.9135454576426008,0.4067366430758002,7,52.92819,-7.85972,43.43,0,high,pending
run_000011,site_00002,2019-11-27 14:00:00,8.1,339,11.3,0.14459342460477,-0.3583679495453007,0.9335804264972016,4,52.92819,-7.85972,43.43,0,high,pending
run_000012,site_00003,2018-04-13 09:00:00,8.0,188,10.6,0.1222158782728266,-0.1391731009600655,-0.9902680687415704,6,47.78042,0.05,19.21,0,high,pending
run_000013,site_00003,2018-07-20 08:00:00,8.7,277,11.7,0.1286666091275431,-0.992546151641322,0.1218693434051476,12,47.78042,0.05,19.21,0,high,pending
run_000014,site_00003,2018-10-04 01:00:00,7.9,47,18.9,0.3788347128828027,0.7313537016191705,0.6819983600624985,13,47.78042,0.05,19.21,0,high,pending
run_000015,site_00003,2018-12-26 14:00:00,8.4,97,11.7,0.1439065756842799,0.992546151641322,-0.1218693434051473,9,47.78042,0.05,19.21,0,high,pending
run_000016,site_00003,2019-01-07 05:00:00,7.5,325,16.9,0.3528254412219734,-0.5735764363510465,0.8191520442889916,8,47.78042,0.05,19.21,0,high,pending
run_000017,site_00003,2019-04-30 15:00:00,8.0,18,10.6,0.1222158782728266,0.3090169943749474,0.9510565162951536,10,47.78042,0.05,19.21,0,high,pending
run_000018,site_00004,2018-01-21 17:00:00,6.8,162,15.3,0.3521825181113625,0.3090169943749475,-0.9510565162951536,10,46.77597,5.35417,11.24,0,high,pending
run_000019,site_00004,2018-03-18 04:00:00,5.8,330,8.0,0.1396619934290063,-0.5000000000000004,0.8660254037844384,1,46.77597,5.35417,11.24,0,high,pending
run_000020,site_00004,2018-06-11 13:00:00,5.1,98,6.9,0.1312789146393189,0.9902680687415704,-0.1391731009600653,4,46.77597,5.35417,11.24,0,high,pending
run_000021,site_00004,2018-09-04 22:00:00,6.1,50,13.3,0.3385218059563188,0.766044443118978,0.6427876096865394,6,46.77597,5.35417,11.24,0,high,pending
run_000022,site_00004,2018-09-10 05:00:00,5.3,242,7.1,0.1269824791182862,-0.882947592858927,-0.4694715627858907,5,46.77597,5.35417,11.24,0,high,pending
run_000023,site_00004,2018-11-17 09:00:00,7.8,13,10.9,0.1453318952501432,0.224951054343865,0.9743700647852352,8,46.77597,5.35417,11.24,0,high,pending
run_000024,site_00004,2019-04-04 02:00:00,5.1,278,11.5,0.3531276642556752,-0.9902680687415704,0.1391731009600654,9,46.77597,5.35417,11.24,0,high,pending
